Datetime,Fan_Status,Humidity_Status,Light_Status,Moisture_Status0,Moisture_Status1,Moisture_Status2,Moisture_Status3,RoomTemp_Status,WG1_Set,WG2_Set
Wed Feb 23 06:12:26 2022,0,76.67,0,1.75,8.28,9.22,4.57,26.66,20,20
Wed Feb 23 06:13:26 2022,0,76.6,0,0.75,8.28,9.22,4.57,26.65,20,20
Wed Feb 23 06:14:26 2022,0,76.93,0,0.75,8.28,9.21,4.57,26.65,20,20
Wed Feb 23 06:15:26 2022,0,73.1,0,1.75,8.27,9.21,4.57,26.63,20,20
Wed Feb 23 06:16:26 2022,0,73.63,0,1.74,8.28,9.21,4.57,26.63,20,20
Wed Feb 23 06:17:26 2022,0,76.51,0,0.75,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 06:18:26 2022,0,73.7,0,0.75,8.28,9.22,4.56,26.63,20,20
Wed Feb 23 06:19:26 2022,0,76.59,0,1.74,8.29,9.23,4.56,26.64,20,20
Wed Feb 23 06:20:26 2022,0,76.68,0,1.74,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 06:21:26 2022,0,73.11,0,1.74,8.28,9.21,4.57,26.63,20,20
Wed Feb 23 06:22:26 2022,0,76.51,0,1.75,8.28,9.22,4.58,26.62,20,20
Wed Feb 23 06:23:26 2022,0,76.55,0,1.76,8.28,9.21,4.56,26.6,20,20
Wed Feb 23 06:24:26 2022,0,76.64,0,1.75,8.28,9.21,4.57,26.62,20,20
Wed Feb 23 06:25:26 2022,0,73.9,0,0.75,8.28,9.21,4.56,26.62,20,20
Wed Feb 23 06:26:26 2022,0,76.52,0,0.75,8.27,9.22,4.57,26.63,20,20
Wed Feb 23 06:27:26 2022,0,76.55,0,0.75,8.28,9.21,4.56,26.64,20,20
Wed Feb 23 06:28:26 2022,0,76.52,0,0.75,8.28,9.22,4.57,26.66,20,20
Wed Feb 23 06:29:26 2022,0,76.84,0,0.75,8.28,9.22,4.58,26.66,20,20
Wed Feb 23 06:30:26 2022,0,77.2,0,0.74,8.29,9.21,4.56,26.66,20,20
Wed Feb 23 06:31:26 2022,0,76.6,0,1.73,8.28,9.21,4.57,26.65,20,20
Wed Feb 23 06:32:26 2022,0,76.58,0,0.74,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 06:33:26 2022,0,76.85,0,1.74,8.28,9.22,4.57,26.63,20,20
Wed Feb 23 06:34:26 2022,0,76.6,0,1.75,8.28,9.21,4.56,26.64,20,20
Wed Feb 23 06:35:26 2022,0,76.5,0,0.75,8.28,9.22,4.57,26.63,20,20
Wed Feb 23 06:36:26 2022,0,73.6,0,0.75,8.28,9.21,4.57,26.62,20,20
Wed Feb 23 06:37:26 2022,0,76.63,0,1.75,8.28,9.21,4.57,26.61,20,20
Wed Feb 23 06:38:26 2022,0,73.85,0,1.75,8.28,9.21,4.56,26.64,20,20
Wed Feb 23 06:39:26 2022,0,76.89,0,1.75,8.29,9.22,4.56,26.61,20,20
Wed Feb 23 06:40:26 2022,0,76.6,0,1.75,8.28,9.21,4.56,26.62,20,20
Wed Feb 23 06:41:26 2022,0,76.53,0,0.74,8.28,9.22,4.57,26.62,20,20
Wed Feb 23 06:42:26 2022,0,73.13,0,0.75,8.28,9.22,4.56,26.6,20,20
Wed Feb 23 06:43:26 2022,0,76.82,0,1.75,8.28,9.21,4.57,26.62,20,20
Wed Feb 23 06:44:26 2022,0,76.52,0,1.74,8.28,9.22,4.56,26.62,20,20
Wed Feb 23 06:45:26 2022,0,73.9,0,0.74,8.28,9.22,4.56,26.65,20,20
Wed Feb 23 06:46:26 2022,0,76.67,0,0.74,8.28,9.22,4.57,26.67,20,20
Wed Feb 23 06:47:26 2022,0,73.8,0,0.75,8.27,9.22,4.57,26.67,20,20
Wed Feb 23 06:48:26 2022,0,73.3,0,0.74,8.28,9.22,4.57,26.68,20,20
Wed Feb 23 06:49:26 2022,0,73.8,0,0.75,8.28,9.23,4.57,26.65,20,20
Wed Feb 23 06:50:26 2022,0,76.51,0,0.74,8.28,9.22,4.57,26.67,20,20
Wed Feb 23 06:51:26 2022,0,76.75,0,0.73,8.28,9.21,4.57,26.64,20,20
Wed Feb 23 06:52:26 2022,0,76.77,0,0.74,8.28,9.22,4.57,26.65,20,20
Wed Feb 23 06:53:26 2022,0,76.6,0,0.73,8.29,9.22,4.57,26.66,20,20
Wed Feb 23 06:54:26 2022,0,76.57,0,1.74,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 06:55:26 2022,0,76.9,0,0.75,8.29,9.22,4.58,26.65,20,20
Wed Feb 23 06:56:26 2022,0,73.8,0,1.75,8.28,9.22,4.56,26.62,20,20
Wed Feb 23 06:57:26 2022,0,73.6,0,1.75,8.28,9.22,4.56,26.63,20,20
Wed Feb 23 06:58:26 2022,0,73.7,0,1.75,8.28,9.22,4.56,26.63,20,20
Wed Feb 23 06:59:26 2022,0,76.56,0,0.75,8.28,9.22,4.56,26.6,20,20
Wed Feb 23 07:00:26 2022,0,76.51,0,0.75,8.28,9.22,4.57,26.6,20,20
Wed Feb 23 07:01:26 2022,0,76.59,0,1.75,8.28,9.22,4.57,26.62,20,20
Wed Feb 23 07:02:26 2022,0,76.54,0,0.74,8.28,9.22,4.56,26.61,20,20
Wed Feb 23 07:03:26 2022,0,73.7,0,1.75,8.28,9.21,4.56,26.6,20,20
Wed Feb 23 07:04:26 2022,0,76.53,0,0.75,8.28,9.21,4.56,26.6,20,20
Wed Feb 23 07:05:26 2022,0,76.58,0,0.75,8.28,9.21,4.56,26.64,20,20
Wed Feb 23 07:06:26 2022,0,73.4,0,1.75,8.29,9.21,4.56,26.65,20,20
Wed Feb 23 07:07:26 2022,0,73.7,0,0.74,8.28,9.22,4.57,26.66,20,20
Wed Feb 23 07:08:26 2022,0,76.6,0,1.75,8.28,9.22,4.57,26.67,20,20
Wed Feb 23 07:09:26 2022,0,76.65,0,1.74,8.28,9.22,4.57,26.65,20,20
Wed Feb 23 07:10:26 2022,0,76.65,0,0.74,8.28,9.22,4.57,26.64,20,20
Wed Feb 23 07:11:26 2022,0,74.31,0,0.74,8.29,9.21,4.57,26.65,20,20
Wed Feb 23 07:12:26 2022,0,76.63,0,0.74,8.27,9.22,4.57,26.63,20,20
Wed Feb 23 07:13:26 2022,0,76.99,0,1.75,8.28,9.22,4.56,26.63,20,20
Wed Feb 23 07:14:26 2022,0,77.3,0,0.75,8.28,9.21,4.56,26.64,20,20
Wed Feb 23 07:15:26 2022,0,76.53,0,0.74,8.28,9.22,4.57,26.61,20,20
Wed Feb 23 07:16:26 2022,0,73.1,0,0.74,8.28,9.22,4.57,26.61,20,20
Wed Feb 23 07:17:26 2022,0,73.12,0,0.75,8.28,9.22,4.56,26.64,20,20
Wed Feb 23 07:18:26 2022,0,76.62,0,1.74,8.28,9.22,4.57,26.63,20,20
Wed Feb 23 07:19:26 2022,0,76.59,0,1.75,8.29,9.22,4.57,26.62,20,20
Wed Feb 23 07:20:26 2022,0,74.18,0,1.75,8.27,9.21,4.57,26.63,20,20
Wed Feb 23 07:21:26 2022,0,76.6,0,0.75,8.28,9.22,4.57,26.62,20,20
Wed Feb 23 07:22:26 2022,0,76.6,0,1.74,8.28,9.22,4.58,26.64,20,20
Wed Feb 23 07:23:26 2022,0,73.9,0,0.74,8.28,9.22,4.57,26.66,20,20
Wed Feb 23 07:24:26 2022,0,76.6,0,0.74,8.28,9.23,4.58,26.7,20,20
Wed Feb 23 07:25:26 2022,0,73.11,0,0.74,8.29,9.22,4.58,26.66,20,20
Wed Feb 23 07:26:26 2022,0,66.79,0,0.74,8.28,9.22,4.58,26.67,20,20
Wed Feb 23 07:27:26 2022,0,76.59,0,0.73,8.27,9.22,4.57,26.66,20,20
Wed Feb 23 07:28:26 2022,0,76.55,0,1.73,8.27,9.23,4.58,26.66,20,20
Wed Feb 23 07:29:26 2022,0,76.6,0,0.74,8.28,9.23,4.57,26.66,20,20
Wed Feb 23 07:30:26 2022,0,73.13,0,1.73,8.28,9.21,4.57,26.66,20,20
Wed Feb 23 07:31:26 2022,0,73.9,0,0.74,8.28,9.22,4.57,26.66,20,20
Wed Feb 23 07:32:26 2022,0,66.23,0,1.75,8.28,9.23,4.57,26.64,20,20
Wed Feb 23 07:33:26 2022,0,76.54,0,0.73,8.28,9.22,4.57,26.66,20,20
Wed Feb 23 07:34:26 2022,0,76.6,0,1.74,8.27,9.22,4.57,26.65,20,20
Wed Feb 23 07:35:26 2022,0,76.71,0,0.74,8.28,9.22,4.58,26.62,20,20
